Pixel Index,ANOVA Score,p-value,Status,Rank
1329,16.48075111643038,8.073069005118792e-19,Eliminated,379.0
1523,16.468149616980966,8.363199121554528e-19,Eliminated,380.0
214,16.44967204680036,8.807569181943443e-19,Eliminated,381.0
2274,16.441830551203427,9.003213444201027e-19,Eliminated,382.0
450,16.433754943635655,9.20924089808333e-19,Eliminated,383.0
215,16.42017826255596,9.566291456794407e-19,Eliminated,384.0
362,16.408357326604612,9.888419663853513e-19,Eliminated,385.0
1236,16.40791867052368,9.900579776608666e-19,Eliminated,386.0
256,16.38209971373524,1.0643285223414219e-18,Eliminated,387.0
315,16.36120035190114,1.12850737872724e-18,Eliminated,388.0
458,16.35651338113837,1.1434234153999626e-18,Eliminated,389.0
191,16.349600688379876,1.1657831552215181e-18,Eliminated,390.0
1572,16.33746965244597,1.2060839235131821e-18,Eliminated,391.0
2242,16.331096873784468,1.227810061758727e-18,Eliminated,392.0
2032,16.327567313809467,1.2400109794705409e-18,Eliminated,393.0
2177,16.326774803364305,1.242767135231156e-18,Eliminated,394.0
143,16.31119679731053,1.298204274874125e-18,Eliminated,395.0
651,16.28994235950983,1.3778509864728856e-18,Eliminated,396.0
1020,16.263644607866755,1.4831899679355567e-18,Eliminated,397.0
983,16.24568990817867,1.5596980348722786e-18,Eliminated,398.0
1285,16.239986160415885,1.5848189413771679e-18,Eliminated,399.0
1075,16.23494527147811,1.6073569231408225e-18,Eliminated,400.0
1127,16.230141304752078,1.629133733448754e-18,Eliminated,401.0
1984,16.228886606984375,1.6348698061526234e-18,Eliminated,402.0
1602,16.228506955592465,1.6366094252521043e-18,Eliminated,403.0
142,16.225145466275315,1.6520932227299832e-18,Eliminated,404.0
257,16.209846605336015,1.7244340998944568e-18,Eliminated,405.0
1620,16.20770832596265,1.7347941049800447e-18,Eliminated,406.0
596,16.1995369658559,1.7749609640125125e-18,Eliminated,407.0
1019,16.196674442986126,1.789250684179929e-18,Eliminated,408.0
1427,16.193923218544533,1.8030931773231433e-18,Eliminated,409.0
220,16.188111307751505,1.83268815619741e-18,Eliminated,410.0
48,16.182790737671265,1.860206728935901e-18,Eliminated,411.0
1761,16.176631214776894,1.8925807714461143e-18,Eliminated,412.0
258,16.167436024944056,1.9419610939972908e-18,Eliminated,413.0
1936,16.14157204470644,2.0878726407220005e-18,Eliminated,414.0
1282,16.1394444377722,2.100352562124047e-18,Eliminated,415.0
1712,16.13738929141152,2.1124782527876734e-18,Eliminated,416.0
1319,16.116004663665944,2.242879610211291e-18,Eliminated,417.0
1882,16.0936072746073,2.388092467471824e-18,Eliminated,418.0
789,16.076588921561196,2.5046823223788698e-18,Eliminated,419.0
2100,16.06975196145129,2.5531080493946926e-18,Eliminated,420.0
2226,16.05406308271888,2.667798986951698e-18,Eliminated,421.0
2193,16.050679669215324,2.6932002267340956e-18,Eliminated,422.0
403,16.04383394968185,2.745336887131253e-18,Eliminated,423.0
1332,16.036598899351173,2.8015357343089926e-18,Eliminated,424.0
1592,16.016683521477447,2.962241045416953e-18,Eliminated,425.0
1760,16.00803230801529,3.0348919194955694e-18,Eliminated,426.0
1426,16.00323166433714,3.0759722796734772e-18,Eliminated,427.0
219,15.982800487333256,3.257116324907961e-18,Eliminated,428.0
1792,15.98147208427369,3.269256653458425e-18,Eliminated,429.0
747,15.964533241514134,3.4280858272794916e-18,Eliminated,430.0
94,15.959094013677511,3.480705950906358e-18,Eliminated,431.0
603,15.954667329726421,3.524125924972901e-18,Eliminated,432.0
1663,15.93985069637365,3.673435461107459e-18,Eliminated,433.0
2288,15.93752723257254,3.6974162503180575e-18,Eliminated,434.0
2052,15.931381496087814,3.7616043761910036e-18,Eliminated,435.0
1302,15.907834699384852,4.018015222197817e-18,Eliminated,436.0
1129,15.900435274503508,4.102143900446418e-18,Eliminated,437.0
1518,15.881040857328387,4.3311021337509164e-18,Eliminated,438.0
1737,15.866645769823018,4.50926207793696e-18,Eliminated,439.0
1123,15.86151873387426,4.574470475997088e-18,Eliminated,440.0
1631,15.859990857836118,4.5940845240507334e-18,Eliminated,441.0
